Driver,AvgDriverPoints,AvgDriverFinish
Alexander Albon,2.9166666666666665,11.041666666666666
Andrea Kimi Antonelli,12.0,4.0
Carlos Sainz,2.25,12.166666666666666
Charles Leclerc,9.375,6.75
Esteban Ocon,1.4166666666666667,12.5
Fernando Alonso,2.125,11.875
Franco Colapinto,0.0,16.055555555555557
Gabriel Bortoleto,0.7916666666666666,14.25
George Russell,12.041666666666666,4.541666666666667
Isack Hadjar,2.0833333333333335,11.791666666666666
Jack Doohan,0.0,16.333333333333332
Kimi Antonelli,5.3478260869565215,10.08695652173913
Lance Stroll,1.2608695652173914,13.695652173913043
Lando Norris,16.416666666666668,4.25
Lewis Hamilton,5.625,8.5
Liam Lawson,1.5833333333333333,12.791666666666666
Max Verstappen,16.208333333333332,3.6666666666666665
Nico Hulkenberg,2.125,12.791666666666666
Oliver Bearman,1.625,11.791666666666666
Oscar Piastri,15.875,4.208333333333333
Pierre Gasly,0.8333333333333334,14.583333333333334
Yuki Tsunoda,0.875,12.583333333333334
